elevation,swardht,willows,birch,juncus,sand,ditches,watertab,disthay,sedpools,poolcov,godoccur,goddens
35,4,0,0,0,0,1,140,100,1,5,1,3.333333333
115,4,30,90,0,0,2,130,300,0,0,1,.666666667
130,4,20,30,0,0,1,150,200,0,0,1,.666666667
28,4,10,50,10,0,0,60,1000,1,2,1,.125
120,3,20,10,0,5,1,200,50,1,1,1,2.17
121,4,0,0,0,0,2,200,300,0,0,1,1.333333333
85,3,5,40,30,0,0,50,1500,0,0,1,1
21,3,0,20,0,0,0,150,500,1,5,1,.333333333
15,3,0,0,70,0,0,10,1500,1,5,1,.333333333
62,3,0,50,0,0,1,150,1000,0,0,1,.5
87,3,10,80,25,0,0,70,700,0,1,1,1.25
35,4,5,80,0,0,0,170,1500,1,80,0,0
123,3,0,1,0,20,0,200,200,0,0,0,0
42,4,1,5,0,0,1,200,400,1,1,0,0
56,4,20,90,0,0,1,150,1500,0,0,0,0
23,2,0,0,0,0,1,190,800,0,0,0,0
72,3,5,60,5,0,0,90,1500,1,10,1,.888888889
8,3,0,0,0,0,0,200,1500,2,5,0,0
30,4,0,0,20,0,1,60,100,0,0,0,0
27,2,0,0,10,10,0,50,50,0,1,0,0
20,2,0,0,20,10,0,40,100,0,10,0,0
11,3,0,0,90,0,0,10,400,0,0,0,0
